annotation_id,claim_id,dataset,annotator_a_path_relevance,annotator_a_evidence_role,annotator_a_error_type,annotator_b_path_relevance,annotator_b_evidence_role,annotator_b_error_type,final_path_relevance,final_evidence_role,final_error_type
eswa_bclean_0001,medfact_bench_1196,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0002,medfact_bench_1075,healthver,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0003,medfact_bench_1194,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0004,medfact_bench_882,healthver,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0005,medfact_bench_355,healthver,IRRELEVANT,REFUTE,POLARITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0006,medfact_bench_1704,medaesqa,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0007,pubhealth_test_1124,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0008,medfact_bench_257,scifact,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,REFUTE,POLARITY,PARTIAL,REFUTE,POLARITY
eswa_bclean_0009,medfact_bench_160,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0010,medfact_bench_1072,healthver,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0011,medfact_bench_1153,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0012,medfact_bench_1607,medaesqa,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0013,medfact_bench_1725,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0014,medfact_bench_1988,medaesqa,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0015,pubhealth_train_446,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,RELEVANT,SUPPORT,NONE,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0016,pubhealth_train_1829,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0017,medfact_bench_185,scifact,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0018,medfact_bench_1143,healthver,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0019,medfact_bench_810,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0020,medfact_bench_1151,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0021,medfact_bench_727,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0022,medfact_bench_1761,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0023,medfact_bench_1686,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0024,medfact_bench_1595,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0025,pubhealth_test_793,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0026,medfact_bench_213,scifact,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0027,medfact_bench_55,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0028,medfact_bench_1232,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0029,medfact_bench_1608,medaesqa,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0030,pubhealth_train_1707,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0031,pubhealth_train_1327,pubhealth,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING
eswa_bclean_0032,medfact_bench_100,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0033,medfact_bench_1233,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0034,medfact_bench_1306,medaesqa,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0035,medfact_bench_1672,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0036,medfact_bench_1833,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INDIRECT_BRIDGE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0037,medfact_bench_1726,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0038,pubhealth_test_491,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0039,medfact_bench_61,scifact,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0040,medfact_bench_170,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0041,medfact_bench_325,scifact,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0042,pubhealth_train_1927,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0043,pubhealth_train_766,pubhealth,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0044,pubhealth_validation_486,pubhealth,IRRELEVANT,REFUTE,POLARITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,REFUTE,POLARITY
eswa_bclean_0045,medfact_bench_1976,medaesqa,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0046,pubhealth_train_1975,pubhealth,IRRELEVANT,REFUTE,POLARITY,PARTIAL,REFUTE,POLARITY,PARTIAL,REFUTE,POLARITY
eswa_bclean_0047,medfact_bench_1633,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0048,pubhealth_validation_101,pubhealth,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0049,pubhealth_test_463,pubhealth,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INDIRECT_BRIDGE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0050,medfact_bench_384,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,UNKNOWN,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,INSUFFICIENT_SPECIFICITY
eswa_bclean_0051,pubhealth_validation_174,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0052,medfact_bench_783,healthver,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0053,medfact_bench_1624,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0054,medfact_bench_160,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0055,medfact_bench_987,healthver,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0056,pubhealth_validation_723,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0057,medfact_bench_49,scifact,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0058,medfact_bench_212,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0059,medfact_bench_108,scifact,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0060,medfact_bench_870,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0061,pubhealth_train_696,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0062,pubhealth_train_38,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0063,medfact_bench_186,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0064,pubhealth_validation_973,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0065,pubhealth_train_1707,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0066,medfact_bench_1960,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0067,pubhealth_train_965,pubhealth,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0068,medfact_bench_382,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0069,medfact_bench_1752,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0070,medfact_bench_187,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0071,medfact_bench_1622,medaesqa,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0072,pubhealth_validation_176,pubhealth,IRRELEVANT,UNKNOWN,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0073,medfact_bench_151,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0074,pubhealth_validation_1171,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0075,pubhealth_test_1114,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0076,medfact_bench_49,scifact,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0077,pubhealth_validation_545,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0078,pubhealth_train_1539,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0079,medfact_bench_1563,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0080,pubhealth_test_481,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0081,pubhealth_train_1938,pubhealth,IRRELEVANT,UNKNOWN,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0082,medfact_bench_11,scifact,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0083,pubhealth_train_1208,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0084,medfact_bench_163,scifact,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0085,medfact_bench_164,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0086,medfact_bench_300,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0087,medfact_bench_986,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0088,medfact_bench_44,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0089,pubhealth_train_1115,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0090,medfact_bench_1967,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0091,medfact_bench_53,scifact,RELEVANT,REFUTE,POLARITY,RELEVANT,REFUTE,POLARITY,RELEVANT,REFUTE,POLARITY
eswa_bclean_0092,pubhealth_train_850,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,UNKNOWN,ENTITY_LINKING,IRRELEVANT
eswa_bclean_0093,medfact_bench_1801,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0094,pubhealth_validation_1151,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0095,medfact_bench_1564,medaesqa,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
eswa_bclean_0096,medfact_bench_1626,medaesqa,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE
eswa_bclean_0097,pubhealth_test_793,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0098,pubhealth_validation_231,pubhealth,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0099,pubhealth_train_1927,pubhealth,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0100,medfact_bench_253,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
