annotation_id,claim_id,claim_cluster_id,link_reasons,linked_formal_ids,linked_component_ids,linked_outer_folds,linked_component_count,maximum_claim_similarity,retained_in_every_scorer_fold
eswa_0001,medfact_bench_1196,claim_bd66082091,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1058;medfact_bench_1096;medfact_bench_1188;medfact_bench_1189;medfact_bench_1190;medfact_bench_1191;medfact_bench_1192;medfact_bench_1193;medfact_bench_1194;medfact_bench_1195;medfact_bench_1196,pair_component_0017,4,1,1.0,False
eswa_0002,medfact_bench_1075,claim_7444a298c2,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1071;medfact_bench_1072;medfact_bench_1073;medfact_bench_1074;medfact_bench_1075;medfact_bench_1080;medfact_bench_1112;medfact_bench_1143;medfact_bench_1199;medfact_bench_1208;medfact_bench_384,pair_component_0012,2,1,0.9999999999999967,False
eswa_0003,medfact_bench_1194,claim_bd66082091,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1056;medfact_bench_1188;medfact_bench_1189;medfact_bench_1190;medfact_bench_1191;medfact_bench_1192;medfact_bench_1193;medfact_bench_1194;medfact_bench_1195;medfact_bench_1196,pair_component_0017,4,1,1.0,False
eswa_0004,medfact_bench_882,claim_9e9a160b92,,,,,0,0.26286494640171365,True
eswa_0006,medfact_bench_1624,claim_a3714f8b1e,,,,,0,0.4826304838930626,True
eswa_0007,medfact_bench_1704,claim_167bd6f82e,,,,,0,0.5604805072446053,True
eswa_0008,medfact_bench_1795,claim_dba620a318,,,,,0,0.650374456283406,True
eswa_0009,medfact_bench_1848,claim_6cbc19807c,,,,,0,0.5627752087318152,True
eswa_0010,medfact_bench_1988,claim_e682fbcd42,,,,,0,0.15702287815709834,True
eswa_0011,pubhealth_train_260,claim_8ca3e15592,,,,,0,0.1940792094490005,True
eswa_0012,pubhealth_test_793,claim_c7fd3fd87e,,,,,0,0.21604173012717648,True
eswa_0013,pubhealth_test_1124,claim_34a57fcbce,,,,,0,0.09596986223125638,True
eswa_0014,pubhealth_train_1208,claim_874e953fd1,,,,,0,0.09745367500988847,True
eswa_0015,pubhealth_validation_597,claim_667c758c2e,,,,,0,0.28142169102044845,True
eswa_0016,pubhealth_test_317,claim_0a501ce8f8,,,,,0,0.3306100506964241,True
eswa_0017,medfact_bench_185,claim_de3db3a8f8,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_185,pair_component_0048,1,1,0.9999999999999978,False
eswa_0018,medfact_bench_12,claim_8148d6da10,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_12,pair_component_0039,2,1,1.0000000000000009,False
eswa_0019,medfact_bench_126,claim_4deebfc0f9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_126,pair_component_0070,1,1,0.9999999999999986,False
eswa_0020,medfact_bench_257,claim_b8e28c54ca,,,,,0,0.20284372463103728,True
eswa_0021,medfact_bench_160,claim_fc963599fa,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_160,pair_component_0151,3,1,0.9999999999999997,False
eswa_0022,medfact_bench_212,claim_d9869e9f23,,,,,0,0.21394401294274404,True
eswa_0023,medfact_bench_427,claim_9b418214c9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1015;medfact_bench_1154;medfact_bench_425;medfact_bench_426;medfact_bench_427,pair_component_0019,3,1,1.0000000000000009,False
eswa_0024,medfact_bench_1072,claim_7444a298c2,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1071;medfact_bench_1072;medfact_bench_1073;medfact_bench_1074;medfact_bench_1075;medfact_bench_1077,pair_component_0012,2,1,0.9999999999999967,False
eswa_0025,medfact_bench_1153,claim_fd447bcc80,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1139;medfact_bench_1150;medfact_bench_1151;medfact_bench_1152;medfact_bench_1153;medfact_bench_1154;medfact_bench_1155,pair_component_0019,3,1,1.0000000000000004,False
eswa_0026,medfact_bench_882,claim_9e9a160b92,,,,,0,0.26286494640171365,True
eswa_0027,medfact_bench_355,claim_8b8f258dad,exact_normalized_claim,medfact_bench_351;medfact_bench_353,pair_component_0118,0,1,0.9999999999999984,False
eswa_0028,medfact_bench_1622,claim_a3714f8b1e,,,,,0,0.4826304838930626,True
eswa_0029,medfact_bench_1607,claim_397ef6320d,,,,,0,0.6717220817944247,True
eswa_0030,medfact_bench_1626,claim_4ce83e423d,,,,,0,0.31776316027938145,True
eswa_0031,medfact_bench_1725,claim_e747f23859,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1588;medfact_bench_1722;medfact_bench_1725;medfact_bench_1726;medfact_bench_1727,pair_component_0160,1,1,0.9999999999999994,False
eswa_0032,medfact_bench_1988,claim_e682fbcd42,,,,,0,0.15702287815709834,True
eswa_0033,pubhealth_train_766,claim_001f8da441,,,,,0,0.1750066494387516,True
eswa_0034,pubhealth_train_446,claim_b93a142183,,,,,0,0.2547091164926564,True
eswa_0035,pubhealth_train_1829,claim_d9f1599eb3,,,,,0,0.3159302141801081,True
eswa_0036,pubhealth_train_1327,claim_afe6a7f5f9,,,,,0,0.11888242787443176,True
eswa_0037,pubhealth_test_786,claim_a47acb7605,,,,,0,0.11118050808580725,True
eswa_0038,medfact_bench_185,claim_de3db3a8f8,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_185,pair_component_0048,1,1,0.9999999999999978,False
eswa_0039,medfact_bench_12,claim_8148d6da10,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_12,pair_component_0039,2,1,1.0000000000000009,False
eswa_0040,medfact_bench_126,claim_4deebfc0f9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_126,pair_component_0070,1,1,0.9999999999999986,False
eswa_0041,medfact_bench_16,claim_0cfe202b73,,,,,0,0.23195144720049163,True
eswa_0042,medfact_bench_160,claim_fc963599fa,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_160,pair_component_0151,3,1,0.9999999999999997,False
eswa_0043,medfact_bench_55,claim_337c19043a,,,,,0,0.2007164465988584,True
eswa_0044,medfact_bench_1143,claim_e5c41b4984,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1075;medfact_bench_1080;medfact_bench_1112;medfact_bench_1140;medfact_bench_1141;medfact_bench_1142;medfact_bench_1143;medfact_bench_1199;medfact_bench_1208;medfact_bench_384,pair_component_0012,2,1,1.0000000000000004,False
eswa_0045,medfact_bench_810,claim_c11c618f61,normalized_source_prefix,medfact_bench_1155,pair_component_0019,3,1,0.2503175353953361,False
eswa_0046,medfact_bench_1151,claim_fd447bcc80,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1067;medfact_bench_1138;medfact_bench_1150;medfact_bench_1151;medfact_bench_1152;medfact_bench_1153;medfact_bench_1154;medfact_bench_1155,pair_component_0019,3,1,1.0000000000000004,False
eswa_0047,medfact_bench_727,claim_da74be9318,normalized_source_prefix,medfact_bench_1067;medfact_bench_1138;medfact_bench_1151,pair_component_0019,3,1,0.2019709158542105,False
eswa_0048,medfact_bench_742,claim_afca56b014,normalized_source_prefix,medfact_bench_1045,pair_component_0025,3,1,0.2657116239747238,False
eswa_0049,medfact_bench_1306,claim_04196f1e2f,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1306;medfact_bench_1307;medfact_bench_1308;medfact_bench_1316;medfact_bench_1383;medfact_bench_1527,pair_component_0069,0,1,0.9999999999999992,False
eswa_0050,medfact_bench_1761,claim_fd966df45e,exact_normalized_claim;normalized_source_prefix,medfact_bench_1588;medfact_bench_1654;medfact_bench_1656;medfact_bench_1722;medfact_bench_1725,pair_component_0160,1,1,1.0000000000000013,False
eswa_0051,medfact_bench_1686,claim_e7d6c22680,,,,,0,0.2789027672479169,True
eswa_0052,medfact_bench_1595,claim_88abd29670,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1595;medfact_bench_1748,pair_component_0169,2,1,0.9999999999999974,False
eswa_0053,pubhealth_train_260,claim_8ca3e15592,,,,,0,0.1940792094490005,True
eswa_0054,pubhealth_test_793,claim_c7fd3fd87e,,,,,0,0.21604173012717648,True
eswa_0055,pubhealth_train_238,claim_9c1468f85c,,,,,0,0.14924974155930193,True
eswa_0056,pubhealth_train_1499,claim_eeddf9c48d,,,,,0,0.25004404706566236,True
eswa_0057,pubhealth_train_1927,claim_ffa83b7fd0,,,,,0,0.20481778909102982,True
eswa_0058,medfact_bench_213,claim_986103c741,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_213;medfact_bench_214;medfact_bench_215;medfact_bench_216;medfact_bench_217,pair_component_0089,0,1,0.9999999999999999,False
eswa_0059,medfact_bench_61,claim_c8dfa5cef3,,,,,0,0.13647242551090472,True
eswa_0060,medfact_bench_55,claim_337c19043a,,,,,0,0.2007164465988584,True
eswa_0062,medfact_bench_740,claim_afca56b014,normalized_source_prefix,medfact_bench_1042,pair_component_0025,3,1,0.2657116239747238,False
eswa_0063,medfact_bench_1232,claim_fa434ad150,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1000;medfact_bench_1232;medfact_bench_1233;medfact_bench_1234;medfact_bench_1235;medfact_bench_1236;medfact_bench_1237;medfact_bench_1238,pair_component_0058,4,1,1.0000000000000009,False
eswa_0064,medfact_bench_1520,claim_de0bba634c,normalized_source_prefix,medfact_bench_1486,pair_component_0141,1,1,0.8713788298296938,False
eswa_0065,medfact_bench_1608,claim_397ef6320d,,,,,0,0.6717220817944247,True
eswa_0066,medfact_bench_1627,claim_4ce83e423d,,,,,0,0.31776316027938145,True
eswa_0067,medfact_bench_1595,claim_88abd29670,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1595;medfact_bench_1748,pair_component_0169,2,1,0.9999999999999974,False
eswa_0068,pubhealth_validation_1151,claim_3d8c18729a,,,,,0,0.15074576117205377,True
eswa_0069,pubhealth_train_1237,claim_62d228422c,,,,,0,0.13624417732120297,True
eswa_0070,pubhealth_train_1707,claim_14d9e9a88f,,,,,0,0.21256505728535766,True
eswa_0071,pubhealth_train_1327,claim_afe6a7f5f9,,,,,0,0.11888242787443176,True
eswa_0072,pubhealth_validation_486,claim_d5ca8f44f6,,,,,0,0.1775242689638321,True
eswa_0073,medfact_bench_325,claim_469a60e097,,,,,0,0.19952980003804016,True
eswa_0074,medfact_bench_100,claim_23c10c2076,exact_normalized_claim;near_duplicate_claim;normalized_source_prefix;same_record_id,medfact_bench_100;medfact_bench_101,pair_component_0021,1,1,1.0000000000000007,False
eswa_0075,medfact_bench_1233,claim_fa434ad150,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1001;medfact_bench_1232;medfact_bench_1233;medfact_bench_1234;medfact_bench_1235;medfact_bench_1236;medfact_bench_1237;medfact_bench_1238,pair_component_0058,4,1,1.0000000000000009,False
eswa_0076,medfact_bench_1306,claim_04196f1e2f,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1306;medfact_bench_1307;medfact_bench_1308;medfact_bench_1316;medfact_bench_1383;medfact_bench_1527,pair_component_0069,0,1,0.9999999999999992,False
eswa_0077,medfact_bench_1672,claim_fd966df45e,exact_normalized_claim,medfact_bench_1588;medfact_bench_1654;medfact_bench_1656,pair_component_0160,1,1,1.0000000000000013,False
eswa_0078,medfact_bench_1833,claim_149bf5ebd7,,,,,0,0.5959976026608022,True
eswa_0079,medfact_bench_1726,claim_e747f23859,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1673;medfact_bench_1723;medfact_bench_1725;medfact_bench_1726;medfact_bench_1727,pair_component_0160,1,1,0.9999999999999994,False
eswa_0080,pubhealth_train_696,claim_6cf4fcfeed,,,,,0,0.5036033067709622,True
eswa_0081,pubhealth_train_1318,claim_64cb8b2197,,,,,0,0.2183555274489017,True
eswa_0082,pubhealth_validation_545,claim_934c7699c0,,,,,0,0.09692847931481136,True
eswa_0083,pubhealth_test_491,claim_b1e80aa2b7,,,,,0,0.12284473902838056,True
eswa_0084,pubhealth_validation_311,claim_32e0524ff2,,,,,0,0.1721613943049017,True
eswa_0085,medfact_bench_61,claim_c8dfa5cef3,,,,,0,0.13647242551090472,True
eswa_0086,medfact_bench_170,claim_9624f9c65b,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_170;medfact_bench_171,pair_component_0167,3,1,1.0000000000000004,False
eswa_0087,medfact_bench_1520,claim_de0bba634c,normalized_source_prefix,medfact_bench_1486,pair_component_0141,1,1,0.8713788298296938,False
eswa_0088,medfact_bench_1752,claim_5c663ad7c3,,,,,0,0.399429896589415,True
eswa_0089,medfact_bench_1833,claim_149bf5ebd7,,,,,0,0.5959976026608022,True
eswa_0090,pubhealth_test_399,claim_d052fcd9c5,,,,,0,0.14824433148093033,True
eswa_0091,pubhealth_train_1893,claim_dd41f9219e,,,,,0,0.25250480809161385,True
eswa_0092,pubhealth_test_107,claim_d25e0e3287,,,,,0,0.12116771894916115,True
eswa_0093,pubhealth_train_1571,claim_9e937ffa5a,,,,,0,0.1867077585134479,True
eswa_0094,pubhealth_test_786,claim_a47acb7605,,,,,0,0.11118050808580725,True
eswa_0095,medfact_bench_325,claim_469a60e097,,,,,0,0.19952980003804016,True
eswa_0096,medfact_bench_1976,claim_4b20bd79c2,,,,,0,0.306767982700865,True
eswa_0097,pubhealth_test_481,claim_d6ed406e00,,,,,0,0.16801464715403336,True
eswa_0098,pubhealth_test_444,claim_93ffb81e0b,,,,,0,0.17658404871245081,True
eswa_0099,pubhealth_validation_1080,claim_04dfde99bf,,,,,0,0.20729900213098187,True
eswa_0100,pubhealth_test_491,claim_b1e80aa2b7,,,,,0,0.12284473902838056,True
eswa_0101,pubhealth_train_1927,claim_ffa83b7fd0,,,,,0,0.20481778909102982,True
eswa_0102,medfact_bench_1633,claim_ff0a5279ff,,,,,0,0.6620114469079108,True
eswa_0103,pubhealth_train_766,claim_001f8da441,,,,,0,0.1750066494387516,True
eswa_0104,pubhealth_test_703,claim_2db21788c1,,,,,0,0.17682215398969658,True
eswa_0105,pubhealth_train_1571,claim_9e937ffa5a,,,,,0,0.1867077585134479,True
eswa_0106,pubhealth_train_905,claim_ff01d58b8e,,,,,0,0.12896309549401253,True
eswa_0107,medfact_bench_1560,claim_d359e159d9,,,,,0,0.41298283297500743,True
eswa_0108,pubhealth_train_238,claim_9c1468f85c,,,,,0,0.14924974155930193,True
eswa_0109,pubhealth_validation_1064,claim_310073715a,,,,,0,0.180779352341635,True
eswa_0110,medfact_bench_1560,claim_d359e159d9,,,,,0,0.41298283297500743,True
eswa_0111,pubhealth_test_804,claim_e78bca69e8,,,,,0,0.11150591809282889,True
eswa_0112,pubhealth_validation_486,claim_d5ca8f44f6,,,,,0,0.1775242689638321,True
eswa_0113,medfact_bench_1976,claim_4b20bd79c2,,,,,0,0.306767982700865,True
eswa_0114,pubhealth_train_1115,claim_ff1955f35a,,,,,0,0.15035191095826578,True
eswa_0115,pubhealth_train_1975,claim_01bb2300d0,,,,,0,0.2317922971007333,True
eswa_0116,medfact_bench_1633,claim_ff0a5279ff,,,,,0,0.6620114469079108,True
eswa_0117,pubhealth_validation_723,claim_c5492fe42f,,,,,0,0.09697981158796032,True
eswa_0118,pubhealth_validation_101,claim_56983cf240,,,,,0,0.1860602102433761,True
eswa_0119,pubhealth_train_1115,claim_ff1955f35a,,,,,0,0.15035191095826578,True
eswa_0120,pubhealth_validation_387,claim_7e6e8f26a3,,,,,0,0.11441244212934144,True
eswa_0121,pubhealth_validation_231,claim_faa6d5b9fc,,,,,0,0.12119120873981715,True
eswa_0122,pubhealth_validation_311,claim_32e0524ff2,,,,,0,0.1721613943049017,True
eswa_0123,pubhealth_test_463,claim_49a32a7e3e,,,,,0,0.11877936492989545,True
eswa_0124,pubhealth_test_317,claim_0a501ce8f8,,,,,0,0.3306100506964241,True
eswa_0127,medfact_bench_628,claim_8c3e601ce1,normalized_source_prefix,medfact_bench_483,pair_component_0122,0,1,0.33649606212803823,False
eswa_0128,medfact_bench_1445,claim_26b4ef5f52,exact_normalized_claim;normalized_source_prefix,medfact_bench_1250;medfact_bench_1251;medfact_bench_1252;medfact_bench_1281;medfact_bench_1282;medfact_bench_1283;medfact_bench_1291;medfact_bench_1292;medfact_bench_1293;medfact_bench_1294;medfact_bench_1295;medfact_bench_1296;medfact_bench_1309;medfact_bench_1310;medfact_bench_1348;medfact_bench_1361;medfact_bench_1417;medfact_bench_1418,pair_component_0069,0,1,1.0000000000000004,False
eswa_0131,pubhealth_validation_245,claim_1a6b810925,,,,,0,0.2777933907821286,True
eswa_0134,medfact_bench_124,claim_0637878dc4,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_124,pair_component_0068,2,1,0.9999999999999957,False
eswa_0136,medfact_bench_631,claim_903103630b,normalized_source_prefix,medfact_bench_1073;medfact_bench_1078;medfact_bench_1142;medfact_bench_382,pair_component_0012,2,1,0.2955637253336143,False
eswa_0138,medfact_bench_650,claim_99490d0b7c,normalized_source_prefix,medfact_bench_1001;medfact_bench_1233,pair_component_0058,4,1,0.32793979437071324,False
eswa_0139,medfact_bench_1967,claim_5faa20dafc,exact_normalized_claim,medfact_bench_1865;medfact_bench_1890,pair_component_0050,4,1,1.0000000000000016,False
eswa_0140,medfact_bench_1921,claim_5faa20dafc,exact_normalized_claim,medfact_bench_1865;medfact_bench_1890,pair_component_0050,4,1,1.0000000000000016,False
eswa_0141,pubhealth_train_1254,claim_7d9a0a1775,,,,,0,0.16621626860853894,True
eswa_0143,pubhealth_test_767,claim_0c7ab27ea9,,,,,0,0.28309116999056044,True
eswa_0146,medfact_bench_320,claim_347deb3d6d,,,,,0,0.25253224280055736,True
eswa_0147,medfact_bench_382,claim_65a4d52abd,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1073;medfact_bench_1078;medfact_bench_1142;medfact_bench_380;medfact_bench_381;medfact_bench_382;medfact_bench_383;medfact_bench_384,pair_component_0012,2,1,1.0000000000000013,False
eswa_0148,medfact_bench_870,claim_724d1c94ae,,,,,0,0.26417296460475626,True
eswa_0150,medfact_bench_1435,claim_6f78fe919d,normalized_source_prefix,medfact_bench_1313,pair_component_0069,0,1,0.5239080421211899,False
eswa_0151,medfact_bench_1599,claim_3a664ae1f5,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1599,pair_component_0150,4,1,1.0000000000000007,False
eswa_0152,pubhealth_train_1318,claim_64cb8b2197,,,,,0,0.2183555274489017,True
eswa_0153,pubhealth_validation_723,claim_c5492fe42f,,,,,0,0.09697981158796032,True
eswa_0154,pubhealth_validation_979,claim_cf3beedc0c,,,,,0,0.13396510942450335,True
eswa_0155,medfact_bench_331,claim_72fb4978f4,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_331,pair_component_0115,4,1,0.9999999999999997,False
eswa_0156,medfact_bench_45,claim_c7ec8308fd,,,,,0,0.3577737451547249,True
eswa_0158,medfact_bench_384,claim_65a4d52abd,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1075;medfact_bench_1080;medfact_bench_1112;medfact_bench_1143;medfact_bench_1199;medfact_bench_1208;medfact_bench_380;medfact_bench_381;medfact_bench_382;medfact_bench_383;medfact_bench_384,pair_component_0012,2,1,1.0000000000000013,False
eswa_0161,medfact_bench_1341,claim_56720cb034,exact_normalized_claim;normalized_source_prefix,medfact_bench_1244;medfact_bench_1245;medfact_bench_1246;medfact_bench_1247;medfact_bench_1277;medfact_bench_1288;medfact_bench_1289;medfact_bench_1308;medfact_bench_1317;medfact_bench_1343;medfact_bench_1442;medfact_bench_1528,pair_component_0069,0,1,0.9999999999999999,False
eswa_0162,medfact_bench_1303,claim_742d79bf17,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1303;medfact_bench_1304;medfact_bench_1305,pair_component_0061,4,1,0.9999999999999996,False
eswa_0163,pubhealth_test_444,claim_93ffb81e0b,,,,,0,0.17658404871245081,True
eswa_0164,pubhealth_validation_174,claim_63d70c11a5,,,,,0,0.12216406257191924,True
eswa_0165,pubhealth_test_357,claim_0f4efa0475,,,,,0,0.18228957099735404,True
eswa_0166,medfact_bench_164,claim_0c4949e829,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_164,pair_component_0044,0,1,1.0000000000000009,False
eswa_0167,medfact_bench_131,claim_bf0009c288,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_131,pair_component_0079,3,1,1.0000000000000004,False
