method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
self_reported_confidence,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
self_reported_confidence,0.01,10,0.016666666666666666,0.9833333333333333,0.588135593220339,0.41186440677966096,0.5890314243361557,6,39,4,0.6,0.13333333333333333,123,0.6829268292682926,0.3170731707317073,0.595
self_reported_confidence,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5862493599590374,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
self_reported_confidence,0.03,21,0.035,0.965,0.5854922279792746,0.4145077720207254,0.5841749846603235,9,36,12,0.42857142857142855,0.2,112,0.6785714285714286,0.32142857142857145,0.6
self_reported_confidence,0.04,26,0.043333333333333335,0.9566666666666667,0.5836236933797909,0.4163763066202091,0.5805872016453124,10,35,16,0.38461538461538464,0.2222222222222222,107,0.6728971962616823,0.32710280373831774,0.6016666666666667
self_reported_confidence,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.5798248971236944,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
self_reported_confidence,0.06,37,0.06166666666666667,0.9383333333333334,0.5861456483126111,0.41385435168738893,0.5809577524138294,16,29,21,0.43243243243243246,0.35555555555555557,96,0.6979166666666667,0.3020833333333333,0.6116666666666667
self_reported_confidence,0.07,43,0.07166666666666667,0.9283333333333333,0.585278276481149,0.41472172351885095,0.5781262958000478,18,27,25,0.4186046511627907,0.4,90,0.7,0.3,0.615
self_reported_confidence,0.08,52,0.08666666666666667,0.9133333333333333,0.5857664233576643,0.41423357664233573,0.5755193913611092,22,23,30,0.4230769230769231,0.4888888888888889,81,0.7160493827160495,0.2839506172839506,0.6216666666666667
self_reported_confidence,0.09,58,0.09666666666666666,0.9033333333333333,0.5830258302583026,0.41697416974169743,0.569055447500849,23,22,35,0.39655172413793105,0.5111111111111111,75,0.7066666666666667,0.29333333333333333,0.6233333333333333
self_reported_confidence,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.563612994975113,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
self_reported_confidence,0.11,69,0.115,0.885,0.5800376647834274,0.41996233521657256,0.5590657206960036,26,19,43,0.37681159420289856,0.5777777777777777,64,0.703125,0.296875,0.6283333333333333
self_reported_confidence,0.12,74,0.12333333333333334,0.8766666666666667,0.5798479087452472,0.42015209125475284,0.5555124836685762,28,17,46,0.3783783783783784,0.6222222222222222,59,0.711864406779661,0.288135593220339,0.6316666666666667
self_reported_confidence,0.13,79,0.13166666666666665,0.8683333333333333,0.5758157389635317,0.42418426103646834,0.5455677578423545,28,17,51,0.35443037974683544,0.6222222222222222,54,0.6851851851851851,0.3148148148148148,0.6316666666666667
self_reported_confidence,0.14,85,0.14166666666666666,0.8583333333333333,0.5728155339805825,0.4271844660194175,0.5359266333371603,29,16,56,0.3411764705882353,0.6444444444444445,48,0.6666666666666667,0.3333333333333333,0.6333333333333333
self_reported_confidence,0.15,92,0.15333333333333332,0.8466666666666667,0.5688976377952756,0.4311023622047244,0.522020806625699,30,15,62,0.32608695652173914,0.6666666666666666,41,0.6341463414634146,0.36585365853658536,0.635
self_reported_confidence,0.16,99,0.165,0.835,0.564870259481038,0.435129740518962,0.5062714597309463,31,14,68,0.31313131313131315,0.6888888888888889,34,0.5882352941176471,0.4117647058823529,0.6366666666666667
self_reported_confidence,0.17,103,0.17166666666666666,0.8283333333333334,0.5613682092555332,0.4386317907444668,0.49346072311359085,31,14,72,0.30097087378640774,0.6888888888888889,30,0.5333333333333333,0.4666666666666667,0.6366666666666667
self_reported_confidence,0.18,108,0.18,0.82,0.5609756097560976,0.4390243902439024,0.4844740995355159,33,12,75,0.3055555555555556,0.7333333333333333,25,0.52,0.48,0.64
self_reported_confidence,0.19,112,0.18666666666666668,0.8133333333333334,0.5594262295081968,0.44057377049180324,0.4736915107613712,34,11,78,0.30357142857142855,0.7555555555555555,21,0.47619047619047616,0.5238095238095238,0.6416666666666667
self_reported_confidence,0.2,117,0.195,0.805,0.5590062111801242,0.44099378881987583,0.4623938261250721,36,9,81,0.3076923076923077,0.8,16,0.4375,0.5625,0.645
rule_matched_budget,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
rule_matched_budget,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5841422974998146,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
rule_matched_budget,0.02,15,0.025,0.975,0.582905982905983,0.41709401709401706,0.5812326952092092,5,40,10,0.3333333333333333,0.1111111111111111,118,0.6610169491525424,0.3389830508474576,0.5933333333333334
rule_matched_budget,0.03,21,0.035,0.965,0.5820379965457686,0.4179620034542314,0.5790162557603118,7,38,14,0.3333333333333333,0.15555555555555556,112,0.6607142857142857,0.3392857142857143,0.5966666666666667
rule_matched_budget,0.04,26,0.043333333333333335,0.9566666666666667,0.5818815331010453,0.4181184668989547,0.5781287850698306,9,36,17,0.34615384615384615,0.2,107,0.6635514018691588,0.3364485981308411,0.6
rule_matched_budget,0.05,32,0.05333333333333334,0.9466666666666667,0.5827464788732394,0.4172535211267606,0.5780544969856181,12,33,20,0.375,0.26666666666666666,101,0.6732673267326732,0.32673267326732675,0.605
rule_matched_budget,0.06,37,0.06166666666666667,0.9383333333333334,0.5808170515097691,0.41918294849023086,0.5743268334179025,13,32,24,0.35135135135135137,0.28888888888888886,96,0.6666666666666667,0.3333333333333333,0.6066666666666667
rule_matched_budget,0.07,43,0.07166666666666667,0.9283333333333333,0.578096947935368,0.42190305206463197,0.5685217064940872,14,31,29,0.32558139534883723,0.3111111111111111,90,0.6555555555555556,0.34444444444444444,0.6083333333333333
rule_matched_budget,0.08,52,0.08666666666666667,0.9133333333333333,0.5748175182481752,0.4251824817518248,0.5600301086290428,16,29,36,0.3076923076923077,0.35555555555555557,81,0.6419753086419753,0.35802469135802467,0.6116666666666667
rule_matched_budget,0.09,58,0.09666666666666666,0.9033333333333333,0.5738007380073801,0.4261992619926199,0.5558059425282695,18,27,40,0.3103448275862069,0.4,75,0.64,0.36,0.615
rule_matched_budget,0.1,63,0.105,0.895,0.5754189944134078,0.4245810055865922,0.555223644697329,21,24,42,0.3333333333333333,0.4666666666666667,70,0.6571428571428571,0.34285714285714286,0.62
rule_matched_budget,0.11,69,0.115,0.885,0.5743879472693032,0.4256120527306968,0.5498910147004971,23,22,46,0.3333333333333333,0.5111111111111111,64,0.65625,0.34375,0.6233333333333333
rule_matched_budget,0.12,74,0.12333333333333334,0.8766666666666667,0.5760456273764258,0.42395437262357416,0.5493164344959669,26,19,48,0.35135135135135137,0.5777777777777777,59,0.6779661016949152,0.3220338983050847,0.6283333333333333
rule_matched_budget,0.13,79,0.13166666666666665,0.8683333333333333,0.5758157389635317,0.42418426103646834,0.5451854821414246,28,17,51,0.35443037974683544,0.6222222222222222,54,0.6851851851851851,0.3148148148148148,0.6316666666666667
rule_matched_budget,0.14,85,0.14166666666666666,0.8583333333333333,0.5728155339805825,0.4271844660194175,0.5351583065413948,29,16,56,0.3411764705882353,0.6444444444444445,48,0.6666666666666667,0.3333333333333333,0.6333333333333333
rule_matched_budget,0.15,92,0.15333333333333332,0.8466666666666667,0.5767716535433071,0.42322834645669294,0.5363610816276634,34,11,58,0.3695652173913043,0.7555555555555555,41,0.7317073170731707,0.2682926829268293,0.6416666666666667
rule_matched_budget,0.16,99,0.165,0.835,0.5748502994011976,0.4251497005988024,0.5252918118300753,36,9,63,0.36363636363636365,0.8,34,0.7352941176470589,0.2647058823529412,0.645
rule_matched_budget,0.17,103,0.17166666666666666,0.8283333333333334,0.5734406438631791,0.42655935613682094,0.5176361530891369,37,8,66,0.3592233009708738,0.8222222222222222,30,0.7333333333333334,0.26666666666666666,0.6466666666666666
rule_matched_budget,0.18,108,0.18,0.82,0.5772357723577236,0.4227642276422764,0.5191188318555628,41,4,67,0.37962962962962965,0.9111111111111111,25,0.84,0.16,0.6533333333333333
rule_matched_budget,0.19,112,0.18666666666666668,0.8133333333333334,0.5737704918032787,0.42622950819672134,0.5060667924744096,41,4,71,0.36607142857142855,0.9111111111111111,21,0.8095238095238095,0.19047619047619047,0.6533333333333333
rule_matched_budget,0.2,117,0.195,0.805,0.5693581780538303,0.43064182194616973,0.4876540940617112,41,4,76,0.3504273504273504,0.9111111111111111,16,0.75,0.25,0.6533333333333333
confidence_only_features,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
confidence_only_features,0.01,10,0.016666666666666666,0.9833333333333333,0.588135593220339,0.41186440677966096,0.5890314243361557,6,39,4,0.6,0.13333333333333333,123,0.6829268292682926,0.3170731707317073,0.595
confidence_only_features,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5862493599590374,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
confidence_only_features,0.03,21,0.035,0.965,0.5854922279792746,0.4145077720207254,0.5841749846603235,9,36,12,0.42857142857142855,0.2,112,0.6785714285714286,0.32142857142857145,0.6
confidence_only_features,0.04,26,0.043333333333333335,0.9566666666666667,0.5836236933797909,0.4163763066202091,0.5805872016453124,10,35,16,0.38461538461538464,0.2222222222222222,107,0.6728971962616823,0.32710280373831774,0.6016666666666667
confidence_only_features,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.5798248971236944,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
confidence_only_features,0.06,37,0.06166666666666667,0.9383333333333334,0.5861456483126111,0.41385435168738893,0.5809577524138294,16,29,21,0.43243243243243246,0.35555555555555557,96,0.6979166666666667,0.3020833333333333,0.6116666666666667
confidence_only_features,0.07,43,0.07166666666666667,0.9283333333333333,0.585278276481149,0.41472172351885095,0.5781262958000478,18,27,25,0.4186046511627907,0.4,90,0.7,0.3,0.615
confidence_only_features,0.08,52,0.08666666666666667,0.9133333333333333,0.5857664233576643,0.41423357664233573,0.5755193913611092,22,23,30,0.4230769230769231,0.4888888888888889,81,0.7160493827160495,0.2839506172839506,0.6216666666666667
confidence_only_features,0.09,58,0.09666666666666666,0.9033333333333333,0.5830258302583026,0.41697416974169743,0.569055447500849,23,22,35,0.39655172413793105,0.5111111111111111,75,0.7066666666666667,0.29333333333333333,0.6233333333333333
confidence_only_features,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.563612994975113,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
confidence_only_features,0.11,69,0.115,0.885,0.5800376647834274,0.41996233521657256,0.5590657206960036,26,19,43,0.37681159420289856,0.5777777777777777,64,0.703125,0.296875,0.6283333333333333
confidence_only_features,0.12,74,0.12333333333333334,0.8766666666666667,0.5798479087452472,0.42015209125475284,0.5555124836685762,28,17,46,0.3783783783783784,0.6222222222222222,59,0.711864406779661,0.288135593220339,0.6316666666666667
confidence_only_features,0.13,79,0.13166666666666665,0.8683333333333333,0.5758157389635317,0.42418426103646834,0.5455677578423545,28,17,51,0.35443037974683544,0.6222222222222222,54,0.6851851851851851,0.3148148148148148,0.6316666666666667
confidence_only_features,0.14,85,0.14166666666666666,0.8583333333333333,0.5728155339805825,0.4271844660194175,0.5359266333371603,29,16,56,0.3411764705882353,0.6444444444444445,48,0.6666666666666667,0.3333333333333333,0.6333333333333333
confidence_only_features,0.15,92,0.15333333333333332,0.8466666666666667,0.5688976377952756,0.4311023622047244,0.522020806625699,30,15,62,0.32608695652173914,0.6666666666666666,41,0.6341463414634146,0.36585365853658536,0.635
confidence_only_features,0.16,99,0.165,0.835,0.564870259481038,0.435129740518962,0.5062714597309463,31,14,68,0.31313131313131315,0.6888888888888889,34,0.5882352941176471,0.4117647058823529,0.6366666666666667
confidence_only_features,0.17,103,0.17166666666666666,0.8283333333333334,0.5613682092555332,0.4386317907444668,0.49346072311359085,31,14,72,0.30097087378640774,0.6888888888888889,30,0.5333333333333333,0.4666666666666667,0.6366666666666667
confidence_only_features,0.18,108,0.18,0.82,0.5609756097560976,0.4390243902439024,0.4844740995355159,33,12,75,0.3055555555555556,0.7333333333333333,25,0.52,0.48,0.64
confidence_only_features,0.19,112,0.18666666666666668,0.8133333333333334,0.5594262295081968,0.44057377049180324,0.4736915107613712,34,11,78,0.30357142857142855,0.7555555555555555,21,0.47619047619047616,0.5238095238095238,0.6416666666666667
confidence_only_features,0.2,117,0.195,0.805,0.5590062111801242,0.44099378881987583,0.4623938261250721,36,9,81,0.3076923076923077,0.8,16,0.4375,0.5625,0.645
dataset_source_only,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
dataset_source_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5813559322033899,0.4186440677966101,0.5795997588063252,2,43,8,0.2,0.044444444444444446,123,0.6504065040650406,0.34959349593495936,0.5883333333333334
dataset_source_only,0.02,15,0.025,0.975,0.5811965811965812,0.41880341880341876,0.5782037151130125,4,41,11,0.26666666666666666,0.08888888888888889,118,0.652542372881356,0.3474576271186441,0.5916666666666667
dataset_source_only,0.03,21,0.035,0.965,0.5820379965457686,0.4179620034542314,0.5779539469054268,7,38,14,0.3333333333333333,0.15555555555555556,112,0.6607142857142857,0.3392857142857143,0.5966666666666667
dataset_source_only,0.04,26,0.043333333333333335,0.9566666666666667,0.5853658536585366,0.41463414634146345,0.5805113405333572,11,34,15,0.4230769230769231,0.24444444444444444,107,0.6822429906542056,0.3177570093457944,0.6033333333333334
dataset_source_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.577692516374065,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
dataset_source_only,0.06,37,0.06166666666666667,0.9383333333333334,0.5843694493783304,0.41563055062166965,0.576226149314893,15,30,22,0.40540540540540543,0.3333333333333333,96,0.6875,0.3125,0.61
dataset_source_only,0.07,43,0.07166666666666667,0.9283333333333333,0.5816876122082585,0.4183123877917415,0.5709775981622475,16,29,27,0.37209302325581395,0.35555555555555557,90,0.6777777777777778,0.32222222222222224,0.6116666666666667
dataset_source_only,0.08,52,0.08666666666666667,0.9133333333333333,0.5784671532846716,0.4215328467153284,0.5631814208320427,18,27,34,0.34615384615384615,0.4,81,0.6666666666666667,0.3333333333333333,0.615
dataset_source_only,0.09,58,0.09666666666666666,0.9033333333333333,0.5793357933579336,0.4206642066420664,0.5617462688083554,21,24,37,0.3620689655172414,0.4666666666666667,75,0.6799999999999999,0.32,0.62
dataset_source_only,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.5621261553166924,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
dataset_source_only,0.11,69,0.115,0.885,0.5800376647834274,0.41996233521657256,0.5575642488132427,26,19,43,0.37681159420289856,0.5777777777777777,64,0.703125,0.296875,0.6283333333333333
dataset_source_only,0.12,74,0.12333333333333334,0.8766666666666667,0.5798479087452472,0.42015209125475284,0.5540219445667043,28,17,46,0.3783783783783784,0.6222222222222222,59,0.711864406779661,0.288135593220339,0.6316666666666667
dataset_source_only,0.13,79,0.13166666666666665,0.8683333333333333,0.5796545105566219,0.42034548944337813,0.5501502745475338,30,15,49,0.379746835443038,0.6666666666666666,54,0.7222222222222222,0.2777777777777778,0.635
dataset_source_only,0.14,85,0.14166666666666666,0.8583333333333333,0.574757281553398,0.425242718446602,0.5373106435605505,30,15,55,0.35294117647058826,0.6666666666666666,48,0.6875,0.3125,0.635
dataset_source_only,0.15,92,0.15333333333333332,0.8466666666666667,0.5688976377952756,0.4311023622047244,0.5201552706868807,30,15,62,0.32608695652173914,0.6666666666666666,41,0.6341463414634146,0.36585365853658536,0.635
dataset_source_only,0.16,99,0.165,0.835,0.5668662674650699,0.43313373253493015,0.5086346887031232,32,13,67,0.32323232323232326,0.7111111111111111,34,0.6176470588235294,0.38235294117647056,0.6383333333333333
dataset_source_only,0.17,103,0.17166666666666666,0.8283333333333334,0.5653923541247485,0.43460764587525147,0.5005505592067335,33,12,70,0.32038834951456313,0.7333333333333333,30,0.6,0.4,0.64
dataset_source_only,0.18,108,0.18,0.82,0.5630081300813008,0.4369918699186992,0.48811400940066973,34,11,74,0.3148148148148148,0.7555555555555555,25,0.56,0.44,0.6416666666666667
dataset_source_only,0.19,112,0.18666666666666668,0.8133333333333334,0.5614754098360656,0.4385245901639344,0.4779882184197152,35,10,77,0.3125,0.7777777777777778,21,0.5238095238095238,0.47619047619047616,0.6433333333333333
dataset_source_only,0.2,117,0.195,0.805,0.5610766045548654,0.4389233954451346,0.46703805933683934,37,8,80,0.3162393162393162,0.8222222222222222,16,0.5,0.5,0.6466666666666666
kg_evidence_state_only,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
kg_evidence_state_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5841422974998146,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
kg_evidence_state_only,0.02,15,0.025,0.975,0.588034188034188,0.41196581196581195,0.5874555163622982,8,37,7,0.5333333333333333,0.17777777777777778,118,0.6864406779661016,0.3135593220338983,0.5983333333333334
kg_evidence_state_only,0.03,21,0.035,0.965,0.5854922279792746,0.4145077720207254,0.583429687463757,9,36,12,0.42857142857142855,0.2,112,0.6785714285714286,0.32142857142857145,0.6
kg_evidence_state_only,0.04,26,0.043333333333333335,0.9566666666666667,0.5853658536585366,0.41463414634146345,0.5822861710631494,11,34,15,0.4230769230769231,0.24444444444444444,107,0.6822429906542056,0.3177570093457944,0.6033333333333334
